id,validness,꿀잠소리,노래자랑,도전 실버벨,듣는대화,마음그림터,마음세탁소,마음스트레칭,명언산책,무비순이,순이 특별대화,순이극장,순이대화,순이인생,순이책방,순이체조,시낭독,시시콜콜,영어교실,요가명상,일어교실,total,recommend
30016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,일어교실
30035,1,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,일어교실
30038,1,0,1,1,4,0,0,0,1,1,9,2,6,0,0,1,0,0,0,1,0,27,영어교실
30039,1,0,0,0,4,0,0,1,0,0,6,0,4,0,0,1,0,1,0,0,0,17,노래자랑
30040,1,0,4,2,27,2,0,1,4,2,31,2,31,1,2,1,0,2,1,5,0,118,마음세탁소
30041,1,0,2,0,2,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,9,순이체조
30045,1,0,2,0,3,1,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,13,순이인생
30046,1,0,9,3,0,1,1,5,7,0,1,1,0,0,1,17,0,5,3,8,0,62,일어교실
30048,1,0,6,15,2,2,0,0,0,1,0,0,0,0,0,2,1,0,1,7,3,40,시시콜콜
30050,1,3,0,4,1,1,1,3,3,1,1,0,1,0,2,6,4,1,1,8,0,41,순이극장
30053,1,0,0,0,3,0,0,0,0,0,2,0,3,1,1,0,0,1,1,0,0,12,순이극장
30055,1,0,1,0,3,0,0,0,1,0,6,1,1,0,0,0,0,0,0,0,0,13,순이책방
30056,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,3,9,순이극장
30058,1,1,2,1,3,3,2,3,1,4,1,0,2,1,2,0,1,5,0,3,0,35,순이체조
30063,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,꿀잠소리
